Desc2,Hue,Sat,Lum
Strong green,25.9,87.0,40.8
Strong green-cyan,36.7,90.5,39.5
Strong lime green,33.3,60.8,50.0
Strong pink,94.2,84.9,44.0
Strong purple,84.8,82.9,44.0
Strong red,97.8,78.7,44.3
Strong red-brown,0.7,71.4,44.7
Strong red-orange,4.7,89.7,42.0
Strong violet,78.4,83.7,43.3
Strong yellow-green,19.9,78.2,44.9
Very dark blue,60.9,83.1,20.4
Very dark blue,62.9,76.0,21.1
Very dark brown,8.6,54.8,21.8
Very dark cyan,49.8,89.5,16.0
Very dark green,39.6,80.5,19.3
Very dark grey,0.0,0.0,30.1
Very dark grey blue,62.0,31.0,26.6
Very dark grey blue,64.3,31.3,29.0
Very dark grey cyan,49.9,28.1,23.9
Very dark grey green,35.0,32.2,25.7
Very dark grey pink,91.4,30.4,29.7
Very dark grey purple,82.9,30.2,25.8
Very dark grey red,2.2,30.7,23.0
Very dark grey red,97.7,33.3,26.9
Very dark grey violet,70.8,30.1,28.0
Very dark grey violet,72.4,28.1,29.9
Very dark grey yellow,14.9,33.8,25.8
Very dark grey yellow,16.3,35.3,27.2
Very dark greyish blue,57.7,14.8,30.6
Very dark greyish blue,61.5,16.3,32.1
Very dark greyish cyan,51.1,13.4,27.4
Very dark greyish green,24.8,12.4,27.1
Very dark greyish lime,40.4,15.0,23.1
Very dark greyish lime green,33.4,10.9,28.3
Very dark greyish magenta,3.6,8.7,40.8
Very dark greyish magenta,84.4,13.9,31.3
Very dark greyish orange,38.8,7.6,36.8
Very dark greyish orange,70.0,1.3,43.7
Very dark greyish pink,91.7,16.7,30.9
Very dark greyish red,3.1,16.6,28.0
Very dark greyish red,94.5,13.2,27.3
Very dark greyish violet,76.2,17.9,28.8
Very dark greyish yellow,15.5,12.7,29.4
Very dark greyish yellow,16.6,12.8,28.4
Very dark lime green,32.4,93.2,20.0
Very dark olive,14.9,72.9,21.7
Very dark olive,15.8,68.5,22.4
Very dark pink,92.4,73.8,20.7
Very dark purple,84.7,80.8,20.0
Very dark red,1.7,63.3,23.3
Very dark red,97.6,82.3,19.3
Very dark violet,75.2,74.7,19.7
Very light blue-purple,67.1,100.0,83.2
Very light brown,8.7,49.3,89.5
Very light cyan,50.8,100.0,74.5
Very light cyan-blue,59.2,100.0,74.7
Very light cyan-green,44.4,100.0,74.9
Very light green,29.2,100.0,74.9
Very light green-cyan,41.9,100.0,89.4
Very light grey,33.6,12.3,91.2
Very light grey,66.1,21.3,92.5
Very light greyish blue,62.2,28.1,93.5
Very light greyish brown,9.6,56.0,94.4
Very light greyish cyan,45.8,47.0,94.0
Very light greyish purple,68.1,70.9,98.0
Very light greyish purple,76.4,70.0,96.3
Very light greyish yellow,14.0,44.9,90.5
Very light greyish yellow,14.5,49.5,90.6
Very light lime green,33.3,100.0,79.8
Very light orange,6.8,100.0,75.2
Very light pink,92.2,100.0,76.3
Very light pink-red,0.8,82.8,88.6
Very light pink-red,98.6,78.3,89.9
Very light purple,82.2,88.2,78.8
Very light red,1.8,89.5,81.7
Very light red,98.8,100.0,76.7
Very light violet,75.0,100.0,80.0
Very light yellow,13.7,86.8,80.7
Very light yellow,14.2,92.3,80.2
Very light yellow-green,19.7,93.2,88.4
Very pale cyan,48.3,100.0,93.4
Very pale green,26.9,100.0,92.7
Very pale orange,8.3,100.0,91.0
Very pale pink,5.0,100.0,93.3
Very pale pink,91.7,100.0,91.0
Very pale purple,84.7,100.0,90.7
Very pale red,97.0,100.0,90.0
Very pale violet,70.8,100.0,90.8
Very pale yellow,15.3,100.0,91.5
Very pale yellow,16.3,100.0,91.4
Very soft blue,60.8,62.8,76.3
Very soft blue,63.9,59.9,76.4
Very soft brown,8.2,65.4,74.1
Very soft cyan,50.6,59.0,77.3
Very soft green,25.6,70.8,78.6
Very soft green-cyan,40.9,61.4,77.0
Very soft lime green,33.1,63.8,76.2
Very soft magenta,83.0,67.6,77.2
Very soft orange,11.9,81.7,83.6
Very soft orange,13.9,90.1,84.1
Very soft pink,92.5,74.0,80.7
Very soft red,97.8,72.1,76.9
Very soft violet,71.9,80.6,85.9
Very soft violet,73.5,68.6,81.1
Very soft yellow,14.2,73.7,78.9
Violet,73.6,100.0,50.0
Vivid blue,59.4,95.2,54.1
Vivid blue,63.0,91.4,53.3
Vivid brown,9.9,92.6,52.2
Vivid cyan,50.1,92.0,51.5
Vivid green,24.7,100.0,58.7
Vivid green-cyan,38.9,90.4,44.9
Vivid lime green,30.8,100.0,53.9
Vivid orange,5.7,96.4,52.7
Vivid pink,90.8,91.1,51.9
Vivid purple,82.8,89.9,51.3
Vivid red,2.3,90.4,52.2
Vivid red,97.6,90.1,51.4
Vivid violet,70.8,95.8,53.7
Vivid violet,72.6,95.0,53.7
Vivid yellow,14.3,97.2,52.0
Vivid yellow,14.9,97.2,52.1
Vivid yellow-green,19.3,92.0,49.5
White,20.8,91.3,97.6
White,34.9,95.8,97.6
White,100.0,100.0,100.0
White,50.0,100.0,100.0
White,0.0,100.0,100.0
Yellow,14.0,95.1,51.2
Yellow,14.7,95.5,50.9
Yellow brown,11.9,59.1,50.2
Yellow-green,19.3,93.0,51.7
Yellowish brown,11.8,74.6,43.8
