Name0,Desc1,Desc2,Name1,HEX,R,G,B,Hue,Sat,Lum
pink,light red-orange,Very light red,Vivid tangerine,#FFA089,255,160,137,12,100.0,76.9
brown,medium dark red-orange,Very dark desaturated red,Royal brown,#523b35,82,59,53,12,21.5,26.5
brown,medium dark red-orange,Very dark red,Liver (organ),#6C2E1F,108,46,31,12,55.4,27.3
grey,medium dark red-orange,Very dark grayish red,Dark liver (horses),#543D37,84,61,55,12,20.9,27.3
grey,red-orange,Dark grayish red,Cinereous,#98817B,152,129,123,12,12.3,53.9
brown,medium dark red-orange,Dark red,Natural Color System,#9F381D,159,56,29,12,69.1,36.9
brown,dark red-orange,Very dark red,Sumac-dyed (Kōrozen),#592b1f,89,43,31,12,48.3,23.5
brown,medium dark red-orange,Dark red,Kenyan copper,#7C1C05,124,28,5,12,92.2,25.3
grey,dark red-orange,Very dark desaturated red,Acajou,#4c2f27,76,47,39,12,32.2,22.5
brown,medium dark red-orange,Dark red,Deep dumpling,#9b351b,155,53,27,12,70.3,35.7
brown,red-orange,Mostly desaturated dark red,Blast-off bronze,#A57164,165,113,100,12,26.5,52.0
brown,red-orange,Slightly desaturated red,BrilliantCopper,#B87B6B,184,123,107,12,35.2,57.1
brown,red-orange,Moderate red,Spicy red-brown (Chinese tea brown) (Karacha),#b35c44,179,92,68,12,44.9,48.4
brown,red-orange,Dark red,Birch brown (Kabacha),#b14a30,177,74,48,12,57.3,44.1
orange,medium light red-orange,Light red,Rinsed-out red (Araishu),#ff7952,255,121,82,13,100.0,66.1
brown,red-orange,Dark moderate red,Faded spicy red-brown (Sōdenkaracha),#9b533f,155,83,63,13,42.2,42.7
orange,red-orange,Vivid red,Microsoft red,#f04e1f,240,78,31,13,87.4,53.1
grey,magenta,Very dark grayish magenta,DeepTaupe,#715F6D,113,92,86,13,8.7,40.8
orange,medium light red-orange,Soft red,Red incense-colored (Akakō-iro),#f07f5e,240,127,94,13,83.0,65.5
grey,red-orange,Mostly desaturated dark red,DesertTaupe,#A18178,161,129,120,13,17.9,55.1
brown,red,Moderate red,FuzzyWuzzyBrown,#C45655,196,86,55,13,48.5,55.1
brown,red-orange,Moderate red,LightBurgundy,#BC5235,188,82,53,13,56.0,47.3
red,red-orange,Pure (or mostly pure) red,Coquelicot,#FF3800,255,56,0,13,100.0,50.0
brown,red-orange,Moderate red,Muddy brown (lit. the brown of a distant river) (Enshūcha),#cb6649,203,102,73,13,55.6,54.1
brown,orange,Moderate orange,CopperCanyonLight,#C08D5E,192,58,21,13,43.8,56.1
grey,medium light red-orange,Grayish red,PeachSand,#C1B6B3,193,182,179,13,10.1,72.9
pink,very light red-orange,Very soft red,Cherry blossom color (Sakura-iro),#fcc9b9,252,201,185,14,91.8,85.7
brown,medium light red-orange,Very soft red,DustyPink,#E1AD9D,225,173,157,14,53.1,74.9
brown,medium light red-orange,Soft red,Brewed mustard-brown (Tokigaracha),#e68364,230,131,100,14,72.2,64.7
brown,red-orange,Moderate red,Copper red,#CB6D51,203,109,81,14,54.0,55.7
brown,medium light red-orange,Soft red,Meat-color (Shishi-iro),#f9906f,249,144,111,14,92.0,70.6
brown,red-orange,Strong red,Cattail color (the plant) (Kaba-iro),#b64925,182,73,37,14,66.2,42.9
orange,medium light red-orange,Very light red,MediumSalmon,#FF8C69,255,140,105,14,100.0,70.6
brown,red-orange,Bright red,Medium vermilion,#D9603B,217,96,59,14,67.5,54.1
brown,red-orange,Moderate red,PeachRust,#C86D51,203,109,81,14,52.0,55.1
black,dark red-orange,Very dark grayish red,Betel nut dye (Binrōjizome),#352925,53,41,37,15,17.8,17.6
orange,medium light red-orange,Light orange,Smashed Pumpkin,#ff6d3a,255,109,58,15,100.0,61.4
orange,medium light red-orange,Bright orange,Chinese orange,#f37042,243,112,66,15,88.1,60.6
red,medium dark red-orange,Strong orange,Lemon iced tea,#bd3000,189,48,0,15,100.0,37.1
brown,medium dark red-orange,Dark red,Smokey Topaz,#832A0D,131,42,34,15,81.9,28.2
red,red-orange,Pure (or mostly pure) red,ElectricVermilion,#FF3F00,255,63,0,15,100.0,50.0
brown,red-orange,Mostly desaturated dark orange,CopperTan,#A87C6D,168,124,109,15,25.3,54.3
red,red-orange,Pure (or mostly pure) orange,Taobao Orange,#ff4200,255,66,0,15,100.0,50.0
brown,dark red-orange,Very dark red,BottlePuce,#631800,99,24,0,15,100.0,19.4
orange,red-orange,Vivid orange,Orioles orange,#fb4f14,251,79,20,15,96.7,53.1
brown,medium light red-orange,Soft orange,Darksalmon,#E9967A,233,150,122,15,71.6,69.6
black,very dark red-orange,Very dark (mostly black) red,Root beer,#290E05,41,14,5,15,78.3,9.0
brown,medium light red-orange,Soft red,Middle red,#E58E73,229,142,115,15,68.7,67.5
white,very light red,Very pale (mostly white) red,RoseWhite,#FFF6F5,255,246,243,15,100.0,98.0
pink,light red-orange,Very light orange,Goddess,#FFAA8D,255,170,141,15,100.0,77.6
orange,medium light red-orange,Light orange,Coral,#FF7F50,255,127,80,16,100.0,65.7
red,red-orange,Pure (or mostly pure) orange,Orangered,#FF4500,255,69,0,16,100.0,50.0
brown,medium light red-orange,Soft orange,MediumApricot,#EB9373,235,147,115,16,75.0,68.6
orange,red-orange,Vivid orange,Giants orange,#fe5a1d,254,90,29,16,99.1,55.5
brown,red-orange,Mostly desaturated dark orange,Spicy mix,#8b5f4d,139,95,77,17,28.7,42.4
orange,red-orange,Vivid orange,SunnyOrange,#FC5110,252,81,16,17,97.5,52.5
brown,medium light red-orange,Soft orange,Rich gardenia (Kokikuchinashi),#f57f4f,245,127,79,17,89.2,63.5
