index,Name0,Hue,Sat,Lum
16757376,orange,24.0,100.0,75.1
12777266,green,76.0,92.5,58.2
9143936,grey,33.0,4.5,52.4
5592405,grey,0.0,0.0,33.3
16738740,pink,330.0,100.0,70.6
6684741,purple,319.0,100.0,20.0
8388564,cyan,160.0,100.0,74.9
107368,green,158.0,98.8,32.2
34749,blue,197.0,100.0,37.1
5578543,purple,342.0,46.6,22.7
11546720,pink,338.0,57.1,43.9
8749529,purple,243.0,53.7,67.8
5272231,blue,217.0,35.2,48.4
65344,green,135.0,100.0,50.0
16557172,orange,21.0,95.8,72.2
13466112,brown,35.0,100.0,40.2
11849683,green,188.0,26.1,76.7
3879708,grey,44.0,35.6,17.1
16309596,yellow,50.0,91.8,66.7
10431336,purple,328.0,57.4,39.6
2564639,black,22.0,11.4,13.7
16764107,pink,1.0,100.0,89.8
4225618,green,138.0,31.2,36.5
12613542,purple,324.0,36.7,61.0
11763354,purple,328.0,25.9,59.8
1193252,black,151.0,49.3,13.9
16566713,pink,14.0,91.8,85.7
16449665,pink,329.0,100.0,49.2
16508850,brown,50.0,90.1,84.1
16769333,yellow,51.0,100.0,60.4
16767744,yellow,52.0,100.0,50.0
7555602,brown,35.0,72.9,26.1
15183055,pink,324.0,55.1,79.0
3477063,purple,272.0,67.1,16.7
13595055,pink,320.0,49.5,62.7
12313185,green,78.0,69.0,63.3
14119074,pink,331.0,56.3,64.1
5522540,grey,264.0,22.7,34.5
14322279,brown,18.0,60.8,62.9
9887441,cyan,169.0,52.2,72.9
16404347,pink,345.0,94.5,64.5
13238245,cyan,151.0,100.0,89.4
16744703,pink,300.0,100.0,75.1
15032356,orange,18.0,78.8,52.0
16519104,pink,315.0,97.5,52.4
16742144,orange,28.0,100.0,50.0
15919319,grey,38.0,50.9,89.6
9650999,brown,7.0,45.5,39.6
1139892,blue,209.0,82.7,38.6
43127,green,163.0,100.0,32.9
7550517,brown,0.0,36.9,32.9
12596780,red,4.0,62.7,46.3
13213916,purple,281.0,46.2,74.5
4008735,brown,24.0,32.6,18.0
12832230,blue,223.0,41.2,83.3
13568556,red,349.0,90.8,42.5
8074806,brown,0.0,39.0,34.7
16032864,brown,28.0,87.1,66.7
1712408,black,107.0,15.8,11.2
14956,blue,208.0,100.0,21.2
10040064,brown,20.0,100.0,30.0
3355545,blue,240.0,50.0,40.0
16737095,orange,9.0,100.0,63.9
15018880,pink,348.0,78.2,53.3
9579326,purple,350.0,54.5,37.1
16758302,orange,40.0,100.0,55.9
10506784,brown,19.0,66.7,37.6
12408220,pink,319.0,44.1,53.7
11946277,brown,14.0,66.2,42.9
4244853,green,138.0,53.4,51.2
16711807,pink,330.0,100.0,50.0
15523529,grey,36.0,47.9,85.7
12179947,blue,202.0,55.6,82.4
15885430,pink,352.0,84.5,67.1
8065299,purple,348.0,75.7,27.5
15286678,pink,329.0,79.2,58.4
10601738,green,72.0,90.3,40.6
14101869,pink,337.0,68.0,51.0
16731754,pink,351.0,100.0,65.3
10233154,purple,345.0,61.7,37.8
6001381,blue,216.0,72.6,62.7
16662884,pink,348.0,99.0,62.5
29371,blue,203.0,100.0,36.7
6619147,brown,353.0,100.0,19.8
16761320,pink,322.0,100.0,87.8
16751104,orange,36.0,100.0,50.0
8388352,green,90.0,100.0,50.0
11157609,pink,337.0,45.3,45.9
16083345,pink,342.0,87.5,68.6
16733296,pink,350.0,100.0,66.5
2963514,grey,189.0,12.6,20.2
10419512,green,89.0,98.0,60.6
15335387,green,97.0,100.0,92.9
15761536,red,0.0,78.9,72.2
13220155,grey,53.0,56.8,51.0
13818331,grey,193.0,11.1,84.1
10903166,purple,333.0,28.8,51.0
14588082,pink,338.0,51.5,73.3
13133056,brown,30.0,100.0,39.2
10192652,brown,51.0,85.6,32.7
2913791,blue,219.0,100.0,58.6
7544463,purple,285.0,65.3,33.9
7372944,grey,210.0,12.6,50.2
1647158,black,221.0,36.7,15.5
2725399,green,111.0,73.4,33.9
16736000,orange,22.0,100.0,50.0
12537681,brown,359.0,46.7,52.9
5530223,grey,209.0,13.8,38.2
15425827,orange,18.0,83.3,52.9
1032444,blue,195.0,97.5,52.4
